Row LabelsSum of Order Price,,,,,,,,,
"Grand Total1,199,708,905.01",,,,,,,,,
Row Labels,Sum of Order Price,,,,,,,,
S-PROFILE ALUMINIUM GUTTERS (PTY) LTD,1960616.64,,,,,,,,
ST R75 CONSTRUCTION,1660032.57,,,,,,,,
STENS WOMENS BUSINESS SERVICES,2181890.81,,,,,,,,
STIRA CONSTRUCTION AND PROJECTS,1388791.27,,,,,,,,
STORIZ INVESTMENTS (PTY) LTD,2172283.73,,,,,,,,
SWAZILWAM TRADING (PTY) LTD,2428362.51,,,,,,,,
TAKANA SOFT SOLUTIONS,1915950.59,,,,,,,,
TAKE NOTE TRADING R8 CC,2221563.23,,,,,,,,
TANAKA SOFT SOLUTIONS,1915954.59,,,,,,,,
TEMBALABANTU SECURITY CLEANING AND GENERAL TRADING,1920633.28,,,,,,,,
THANDONELE INVESTMENT HOLDINGS,2263487.80,,,,,,,,
THE MOTIVE RALLY,2673443.95,,,,,,,,
THE QUEEN BEE,1202326.00,,,,,,,,
THEMBALETHU WORKWEAR (PTY) LTD,1920633.28,,,,,,,,
THOBA MKANGISA AND ASSOCIATES,1972898.93,,,,,,,,
THV LOGISTICS AND PROJECTS CC,2209092.07,,,,,,,,
TOGU TRADING & PROJECTS,2299734.36,,,,,,,,
TOP LEVEL PREMIER SERVICES,1650824.36,,,,,,,,
TRACTION CIVILS GROUP,3460662.99,,,,,,,,
TSUNAMI CIVIL,2461552.88,,,,,,,,
UKUAKHA PROJECTS,1973334.46,,,,,,,,
UKUBONISANA TRADING AND PROJECTS CC,2294069.39,,,,,,,,
UNLOCKED CONSULTANTS PTY LTD,2175192.82,,,,,,,,
UPON MANY WATERS,1738628.32,,,,,,,,
USIMELWENATHI TRADING & PROJECTS,1151242.20,,,,,,,,
USINDISO TRANSPORT & PROJECTS,2678197.94,,,,,,,,
VAXOBYTE,1663257.25,,,,,,,,
VICTORY SIGN FARMING (PTY) LTD,2138506.86,,,,,,,,
VOKUL CONSULTING (PTY) LTD,2257457.85,,,,,,,,
VUCA SOLUTIONS,2162303.76,,,,,,,,
VUKA UGQAME GENERAL TRADING,2091604.63,,,,,,,,
WILLSKOSA (PTY) LTD,1848812.78,,,,,,,,
X COMMS,2513917.11,,,,,,,,
X-BUSINESS RESOURCES,2814980.92,,,,,,,,
YANDE ENGINEERING AND PROJECTS,1615408.09,,,,,,,,
YAYAM TRADING,2349527.17,,,,,,,,
YINATHI HOLDINGS,2415145.15,,,,,,,,
YOLO EMPIRE (PTY)LTD,2908492.82,,,,,,,,
ZIMBELIMDAKA,1914634.75,,,,,,,,
ZINABO TRADING ENTERPRISE,2229853.78,,,,,,,,
ZINDLOVU GROUP (PTY) LTD,2116173.41,,,,,,,,
ZKS PROJECTS,1647223.75,,,,,,,,
ZONDIPHASE CONSULTING,3883739.20,,,,,,,,
ZPK TRADING ENTERPRISE,1428875.07,,,,,,,,
DOH,628985034.30,,,,,,,,
A&S Suppliers,1248000.00,,,,,,,,
Abantsundu Construction,12254641.80,,,,,,,,
Abasemonti Constr,33750940.00,,,,,,,,
Access Medical,311700.00,,,,,,,,
Acid Prints,259870.00,,,,,,,,
Africa Paper Manufacturers,1248000.00,,,,,,,,
Akibar Trading and Projects,1560000.00,,,,,,,,
Allenco Medical and Dental,465750.00,,,,,,,,
Alphagen Health,1560000.00,,,,,,,,
Aprowave,1932000.00,,,,,,,,
Arjo,1335955.20,,,,,,,,
Asiphumeze Trading,1517600.00,,,,,,,,
Avulunge Projects,1500000.00,,,,,,,,
Axim,1908624.32,,,,,,,,
B Braun,484210.80,,,,,,,,
Barrs Pharmaceuticals,1829715.00,,,,,,,,
Beloved Ventures,1526662.81,,,,,,,,
Bhele-Boys Trading,1560000.00,,,,,,,,
BID Consultancy,1560000.00,,,,,,,,
Boarder Hazmat,5750000.00,,,,,,,,
Bravo Africa Holdings,1248000.00,,,,,,,,
Bravorox R119,1517600.00,,,,,,,,
Buhlebezwe Enterprise,1130000.00,,,,,,,,
BVM Logistics,104328.00,,,,,,,,
Byxicel,1248000.00,,,,,,,,
Camion Solutions,1560000.00,,,,,,,,
Central Medical (Pty) Ltd,78080.00,,,,,,,,
CHRISTIAN INVESTMENT GROUP,1500000.00,,,,,,,,
Clarke Consultants,1560000.00,,,,,,,,
Compass Waste,1474000.00,,,,,,,,
Conqua Industries,145312.00,,,,,,,,
Cruden Waterproofing,2450000.00,,,,,,,,
CRYPTOSPARK,29000.00,,,,,,,,
C-Squared,640090.00,,,,,,,,
Curopart (Pty) Ltd,1560000.00,,,,,,,,
Dantonetix,1248000.00,,,,,,,,
Dessert Rose,4875000.00,,,,,,,,
Dikha Trading,1517600.00,,,,,,,,
Dimpho,2598770.00,,,,,,,,
DONDERIEN,496780.00,,,,,,,,
East Cape X-Ray,5380016.52,,,,,,,,
East Coast Medical,712596.70,,,,,,,,
ECOMED MEDICAL,4694087.00,,,,,,,,
EconoLab EC t/a Milu Trading,16000000.00,,,,,,,,
Emlanjeni,1517600.00,,,,,,,,
Endomed Surgical and Supplies,499991.25,,,,,,,,
Evergreen Latex,63559572.00,,,,,,,,
EXILITE R369,1560000.00,,,,,,,,
EXTRA DIMENSION,46486.45,,,,,,,,
Eyman General Trading,1500000.00,,,,,,,,
Ezamazizi Trading Enterprise,1248000.00,,,,,,,,
Fabkomp (Pty) Ltd,10148750.00,,,,,,,,
Falcolux,1560000.00,,,,,,,,
Fresenius Kabi,3389475.60,,,,,,,,
Gasuta Group,16900.00,,,,,,,,
Go Enterprise,1248000.00,,,,,,,,
HEMOCUE SA,870624.00,,,,,,,,
HOSPITAL EQUIPMENT,1940568.00,,,,,,,,
Ibasathi Projects,1375000.00,,,,,,,,
IBISM Trading Enterprice,1560000.00,,,,,,,,
Ice Breaker,37090739.92,,,,,,,,
Ikwezi Signs,76482.00,,,,,,,,
Ilinge Labantu Trading,8842516.52,,,,,,,,
Imperial Health Solutions,18788000.00,,,,,,,,
IN YOUR TANK PETROLEUM,29499.96,,,,,,,,
Indlovu Manufacturers,6193010.00,,,,,,,,
Inkosi Healthcare,276000.00,,,,,,,,
Investorex R28,35071182.00,,,,,,,,
Jikijela Communication and Advert,1248000.00,,,,,,,,
